400	0,1
405	0,1
410	0,1
415	0,1
420	0,1
425	0,1
430	0,1
435	0,1
440	0,1
445	0,1
450	0,1
455	0,1
460	0,1
465	0,1
470	0,1
475	0,1
480	0,1
485	0,1
490	0,1
495	0,1
500	1
505	1
510	1
515	1
520	1
525	1
530	1
535	1
540	1
545	1
550	1
555	1
560	1
565	1
570	1
575	1
580	1
585	1
590	1
595	1
600	0,1
605	0,1
610	0,1
615	0,1
620	0,1
625	0,1
630	0,1
635	0,1
640	0,1
645	0,1
650	0,1
655	0,1
660	0,1
665	0,1
670	0,1
675	0,1
680	0,1
685	0,1
690	0,1
695	0,1
700	1
705	1
710	1
715	1
720	1
725	1
730	1
735	1
740	1
745	1
750	1
755	1
760	1
765	1
770	1
775	1
780	1
785	1
790	1
795	1
800	0,1
805	0,1
810	0,1
815	0,1
820	0,1
825	0,1
830	0,1
835	0,1
840	0,1
845	0,1
850	0,1
855	0,1
860	0,1
865	0,1
870	0,1
875	0,1
880	0,1
885	0,1
890	0,1
895	0,1
900	1
905	1
910	1
915	1
920	1
925	1
930	1
935	1
940	1
945	1
950	1
955	1
960	1
965	1
970	1
975	1
980	1
985	1
990	1
995	1
1000	1
